instance,actual_cpu,on_demand_monthly_cost,recommended_commitment,ri_monthly_cost,monthly_savings,savings_pct,breakeven_utilization_pct,savings_plan
instance-01324318-b63a-4717-9439-b2a1a52f0ca6,14.798333333333332,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-05cb5072-2d57-4ed5-89cb-07b6bd629c4a,64.63166666666666,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-06a6ce44-f898-4a56-af9c-3677355c0953,6.286666666666668,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-0701a349-0a6a-4217-84b6-204d8d77218d,53.97666666666667,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-07888f77-7c50-495c-8de3-8ab42f87e40f,56.67666666666667,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-094da81f-34ea-4ed3-b620-cd09bd821f84,56.81166666666667,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-0a3af07d-155f-43ae-8d3c-0658a177fcad,25.418333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-0a4826aa-3a5f-410d-81df-72605a368e3f,60.745000000000005,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-0a96ef2e-5ce4-440d-abdb-9d0021d36a1f,100.0,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-0b14c48d-2b2b-4ab3-9896-7ef2278701dd,97.39999999999999,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-0cc6e5c1-f7f5-4fb3-aab4-b0b77f5526e9,62.93333333333334,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-0e662c85-fb62-4221-984b-9fae1d5bef53,52.51666666666667,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-0e757ca1-f673-4656-a63a-a67da3d67d16,51.199999999999996,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-0f62f1a0-c85a-41e1-9c94-87e73d76f8f4,52.56,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-0f980c99-8d29-49c7-9513-1027d360cdb7,74.55333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
