instance,recent_max,z_score,historical_mean,historical_std
instance-117f27cd-e566-4982-93d3-49208c6d3403,0.07,inf,0.06,0.0
instance-1895251e-2d11-44e6-9893-903c8eb90eab,1.36,inf,1.32,0.0
instance-b86691a6-9600-4e07-8f53-a96139c6ea89,0.12,inf,0.11,0.0
instance-c4d00e61-12b2-4e6c-8ac4-eb9c89256b4e,0.26,inf,0.14,0.0
instance-fddf7737-fddb-4773-8896-c158f7d506e8,39.94,907.82,0.63,0.04
instance-7af41c3a-8c07-4cb0-b6a2-402f3a7fc528,13.56,460.01,0.57,0.03
instance-bfdadc04-989a-424b-9078-e8873661e748,17.5,422.45,0.61,0.04
instance-bfdb0a76-a179-4e9e-b01a-6873cddbb36e,41.46,416.31,0.53,0.1
instance-1f36a649-23cd-4e96-9e7d-8ebd6cb8476c,12.62,356.14,0.63,0.03
instance-ced80683-a23d-442c-9967-979d8d9774aa,62.54,346.75,5.2,0.17
instance-69f19e2f-a22f-497a-9e31-8d097ecc1c12,40.44,282.82,2.58,0.13
instance-d1e3a757-00ff-491a-a394-e25653089b77,25.07,274.68,1.21,0.09
instance-0a9cdb04-a336-4041-b6eb-8319f42a7763,5.42,272.78,0.36,0.02
instance-01dcc5b4-25cb-4c49-b5bc-7466d79559da,28.95,243.87,2.45,0.11
instance-da82cf05-eff7-4367-8bd9-796c16ab37ec,81.39,220.25,6.38,0.34
instance-fad5ce24-fd45-47a2-8e6d-6ee9291e0784,86.77,218.36,5.98,0.37
instance-df69980c-1ea3-45a8-b07a-ea96935f16c8,8.61,215.04,0.61,0.04
instance-48af1275-6ef9-4ba7-80ba-a796867a30f7,10.87,204.46,0.99,0.05
instance-efb2dd60-78c1-4a25-be40-837772962285,4.75,201.23,0.78,0.02
instance-ab0d99d3-b85c-4935-a8a2-fcb6ff002960,11.67,198.67,2.57,0.05
instance-085c3397-eb18-48d8-a19c-2a9600c45271,19.43,196.51,1.24,0.09
instance-4516a975-6a2c-476a-951a-2a3dfce65c83,6.76,189.83,0.9,0.03
instance-d096aa9f-af64-4020-a075-c0b9702b8dd3,18.76,185.98,3.98,0.08
instance-41e36834-a9c6-4f06-9aaf-df5ddeaf6836,23.62,179.2,2.03,0.12
instance-0d54994c-faa5-4f79-8179-5331250a8a2b,9.86,171.82,0.85,0.05
instance-6bc6dfa0-4daa-44dc-b79a-2b5b0f4bb239,17.65,171.07,1.03,0.1
instance-b1d43bfc-28cc-44f5-9d81-66b4ea399788,65.7,169.41,7.14,0.35
