instance,actual_cpu,pred_low,pred_mid,pred_high,action,risk,monthly_savings
instance-00011354-845c-4726-b714-2057d6d1bf6b,3.345,3.2896454,3.4090462,3.7639894,terminate,moderate,0.0
instance-0002f0a6-2a95-4a70-91de-91074b585287,17.888333333333332,15.084962,16.201422,18.530388,downsize,risky,1.2314454648335764
instance-0004f10a-f3ba-420b-89a7-83a265cd00d4,1.7449999999999999,1.7058169,2.2173932,1.8737874,terminate,safe,0.0
instance-00062a51-a09d-4f41-9277-f8791ab9a8d8,3.8266666666666667,3.880874,4.2102118,5.0868464,downsize,safe,0.0
instance-000773f3-5492-4fb1-889b-79133f551d69,7.843333333333334,5.4725065,7.723219,9.6107435,downsize,safe,0.08768352330525744
instance-00079d46-c771-400e-ba0f-1a1532aed095,2.9883333333333333,3.562112,3.6821651,3.957944,terminate,moderate,0.0
instance-00093cfd-3b04-46af-99d4-d22b3d2dcb1d,8.963333333333333,5.6066546,7.7285857,10.149601,downsize,safe,0.9013657576878863
instance-0009ecad-5f8a-4594-a7a1-3acecdb97830,2.3466666666666662,2.1997356,2.696939,3.301872,terminate,moderate,0.0
instance-000b6f46-d993-4422-bc13-0d03195de673,1.9100000000000001,1.379361,2.4029846,3.143433,terminate,moderate,0.0
instance-000c440f-287c-4e68-9ead-e76f8b0b78d2,1.685,1.7339239,3.5633874,4.7747746,terminate,risky,0.0
instance-0010af05-7465-4ca9-975d-ea745e42a6a1,9.26,7.5827103,9.190969,11.214328,downsize,safe,0.050392288970947115
instance-001218ad-73c9-41bf-9e2d-eb04029819e1,4.888333333333333,4.072437,8.224805,9.673503,downsize,safe,0.0
instance-00138c8e-6588-46f2-96fc-9326b2757580,9.808333333333332,8.133919,9.1403,11.171482,downsize,safe,0.48766448148091524
instance-0013f242-75b1-4b37-b9f7-c481197648ad,6.181666666666666,4.7720814,8.869186,10.724654,downsize,safe,0.0
instance-001425bd-2b82-4887-9368-ad79d4c9cc8e,3.88,4.434303,5.746833,6.4969587,downsize,safe,0.0
instance-001498eb-d8df-4a8d-95ae-b49ba012f989,6.878333333333334,2.5571752,4.149436,6.0993395,downsize,safe,1.992095055516561
instance-0014a1db-c57d-4399-baee-68e805c5a9e3,8.196666666666667,6.1544857,10.631025,14.735199,downsize,moderate,0.0
instance-0016dc88-d73a-448b-805e-d29363b7cdd7,8.845,5.73056,7.3698206,8.865302,downsize,safe,1.0768809658050542
instance-0016f2be-cb6c-4622-a074-96e11e086538,3.555,3.1285589,3.3315425,3.6665995,terminate,moderate,0.16312398090362562
instance-001733e8-d550-462d-98fa-f4c95b2b4be7,15.219999999999999,9.349075,15.143629,18.87513,downsize,risky,0.055750775909423
instance-001a9e4b-8f1a-46e7-a557-2a968577aad9,8.515,4.6753445,8.344181,10.316737,downsize,safe,0.124697825622559
instance-001c45d7-80da-409f-a6d2-9490309b1eb0,15.658333333333333,5.362054,8.34523,10.9072275,downsize,safe,5.338565358479817
instance-001d712e-d8da-4311-b71c-07992afe8fb2,2.4983333333333335,2.495298,2.8477092,3.5000627,terminate,moderate,0.0
instance-00208906-41aa-4d74-ae8a-a6692274942a,15.541666666666666,7.8521056,14.0399685,16.485056,downsize,moderate,1.0962396685282385
instance-0020a823-b6e8-46a6-8b4d-cf5e51f58fcf,4.451666666666666,3.4506807,5.410745,7.4751234,downsize,safe,0.0
instance-00211c28-2edb-4c46-9d60-8490e2dc6279,16.673333333333336,14.513783,15.446065,18.237576,downsize,risky,0.8959059205373144
instance-00212957-5dab-4ad6-925c-590bf8f9db79,16.186666666666664,11.38857,15.25774,18.575922,downsize,risky,0.6781164515177389
instance-002281d5-ce93-4bc6-8a3c-351d19f2879c,3.1816666666666666,3.2060907,3.4844654,4.2209826,terminate,risky,0.0
instance-002586f7-d840-47d3-8fe1-4cdd175dc7f3,4.046666666666667,3.8157485,4.1347923,4.504379,terminate,risky,0.0
instance-0025b894-efa5-43b9-a51f-55fdb103fbd9,1.0816666666666668,0.78776366,1.9308586,2.843856,terminate,moderate,0.0
instance-0026e244-a0e0-400d-a279-1f1ad26fc2ad,3.026666666666667,2.1760912,7.282377,23.278458,review,n/a,0.0
instance-0027c3e9-7e71-426e-ba04-aa80ef3e4dad,1.59,2.376984,3.5307434,4.392478,terminate,risky,0.0
instance-0027f0e0-7f79-4d73-809b-0fab2fc7784e,4.050000000000001,3.8196182,4.4133205,4.528739,terminate,risky,0.0
instance-002835a2-2563-473c-9bc5-a5a70b80c00d,2.3116666666666665,2.1760814,2.3819215,2.594272,terminate,moderate,0.0
instance-002b2147-973f-4fc2-be78-b0507caa81c6,12.64,7.852415,13.06006,16.227465,downsize,moderate,0.0
instance-002f3008-d7ac-4d4b-8e46-a037a6669600,0.5616666666666666,0.41141745,1.7779359,0.97686076,terminate,safe,0.0
instance-003097df-ee67-4cff-b1f6-ed96f6c97e11,9.57,13.038395,15.344483,17.614628,downsize,risky,0.0
instance-0034e6fd-4d08-47ea-8e96-71f76a8b1226,13.638333333333334,7.2863727,13.812406,16.992195,downsize,moderate,0.0
instance-00356c59-e371-4da8-a0af-da70917a5269,2.433333333333333,2.1885345,2.3819215,2.5980155,terminate,moderate,0.037530616601308034
instance-0035f5e9-cb35-48d0-a460-6a1136a25047,3.5750000000000006,3.5430453,3.5786028,3.8585048,terminate,moderate,0.0
instance-0036ea29-9f5d-4dae-ab39-52ec48a1af52,9.153333333333332,4.4304953,7.075187,8.229911,downsize,safe,1.517046672757466
instance-0037b93e-27f2-4e81-a1d0-6263caf4e8ef,8.951666666666666,5.1660156,9.610162,14.226631,downsize,moderate,0.0
instance-003c3a68-4bbc-4f07-9fd7-d09e120fc358,10.055,9.7549515,10.47237,13.500649,downsize,moderate,0.0
instance-003cce84-a470-42cd-8e9f-fa171d6279e5,15.423333333333334,13.146715,14.438278,18.059874,downsize,risky,0.7190902486165368
instance-003e96a4-8b26-4670-95ef-58a5cb495b65,17.395,11.85357,16.047676,20.039696,review,n/a,0.9835464569091794
instance-003eb3e9-8a5c-4271-bc08-77ec846b283c,8.453333333333333,3.9457066,8.344181,10.157014,downsize,safe,0.07968115895589178
instance-003f6fd0-71aa-49a2-b528-25f3aa698ed8,1.9983333333333333,1.7042602,2.7230544,3.6285326,terminate,moderate,0.0
