instance,actual_cpu,pred_low,pred_mid,pred_high,action,monthly_savings
instance-00011354-845c-4726-b714-2057d6d1bf6b,3.345,3.3888324183765173,3.446457934028975,3.6170084589205147,terminate,0.0
instance-0002f0a6-2a95-4a70-91de-91074b585287,17.888333333333332,12.00061739940762,17.880499382700535,17.985331792613618,downsize,0.005718783961941903
instance-0004f10a-f3ba-420b-89a7-83a265cd00d4,1.7449999999999999,1.7443278993987223,1.7463173669501737,1.838616163247065,terminate,0.0
instance-00062a51-a09d-4f41-9277-f8791ab9a8d8,3.8266666666666667,3.757601898716163,3.8629375572125135,4.070296207535376,terminate,0.0
instance-000773f3-5492-4fb1-889b-79133f551d69,7.843333333333334,4.627594073303382,7.577485003681284,7.640694872061248,downsize,0.19406928064599632
instance-00079d46-c771-400e-ba0f-1a1532aed095,2.9883333333333333,3.6731171776415996,3.733847392221633,3.828457529410061,terminate,0.0
instance-00093cfd-3b04-46af-99d4-d22b3d2dcb1d,8.963333333333333,4.868372629892919,9.007141029849002,10.03356033517,downsize,0.0
instance-0009ecad-5f8a-4594-a7a1-3acecdb97830,2.3466666666666662,2.1329535588049033,2.470542607209398,2.803178721774134,terminate,0.0
instance-000b6f46-d993-4422-bc13-0d03195de673,1.9100000000000001,1.5469936888167872,2.1304664999487923,2.6489471778853195,terminate,0.0
instance-000c440f-287c-4e68-9ead-e76f8b0b78d2,1.685,1.8514731490989822,3.508011278653537,3.907443555375736,terminate,0.0
instance-0010af05-7465-4ca9-975d-ea745e42a6a1,9.26,6.728085749393502,9.975711744043082,10.489696655638507,downsize,0.0
instance-001218ad-73c9-41bf-9e2d-eb04029819e1,4.888333333333333,4.6097211314357365,8.40467915844067,9.150648739516942,downsize,0.0
instance-00138c8e-6588-46f2-96fc-9326b2757580,9.808333333333332,6.579073437511519,9.813044809977198,10.13603909826795,downsize,0.0
instance-0013f242-75b1-4b37-b9f7-c481197648ad,6.181666666666666,4.472887856498553,7.592913597460372,7.496049910365748,downsize,0.0
instance-001425bd-2b82-4887-9368-ad79d4c9cc8e,3.88,4.949390776027305,5.148210695325978,5.57887824848433,downsize,0.0
instance-001498eb-d8df-4a8d-95ae-b49ba012f989,6.878333333333334,2.889359376122133,4.371001773713329,6.031074583653614,downsize,1.8303520385226038
instance-0014a1db-c57d-4399-baee-68e805c5a9e3,8.196666666666667,5.828955462223231,9.703947648215877,13.772146010785418,downsize,0.0
instance-0016dc88-d73a-448b-805e-d29363b7cdd7,8.845,6.690377601275301,7.395784513039325,9.101491840125728,downsize,1.0579273054812934
instance-0016f2be-cb6c-4622-a074-96e11e086538,3.555,3.1583910147909036,3.3864519659979426,3.466485104593559,terminate,0.12304006482150201
instance-001733e8-d550-462d-98fa-f4c95b2b4be7,15.219999999999999,10.020239578960382,17.14544955592883,18.902480170341654,downsize,0.0
instance-001a9e4b-8f1a-46e7-a557-2a968577aad9,8.515,4.465609729946274,8.403152446237284,9.302804696377232,downsize,0.08164871424678312
instance-001c45d7-80da-409f-a6d2-9490309b1eb0,15.658333333333333,4.5445152154111526,8.47380318326552,9.508047427090654,downsize,5.244707009549503
instance-001d712e-d8da-4311-b71c-07992afe8fb2,2.4983333333333335,2.4475795500729736,2.9148644018182677,3.1686279869858276,terminate,0.0
instance-00208906-41aa-4d74-ae8a-a6692274942a,15.541666666666666,7.711262742384382,15.71532443126859,16.82653626628147,downsize,0.0
instance-0020a823-b6e8-46a6-8b4d-cf5e51f58fcf,4.451666666666666,3.871846619129797,5.3693336883540415,6.3340622521374526,downsize,0.0
instance-00211c28-2edb-4c46-9d60-8490e2dc6279,16.673333333333336,13.748595141000482,16.70712136861579,17.808395087648538,downsize,0.0
instance-00212957-5dab-4ad6-925c-590bf8f9db79,16.186666666666664,10.080116851930619,16.681369897835793,17.99628859981298,downsize,0.0
instance-002281d5-ce93-4bc6-8a3c-351d19f2879c,3.1816666666666666,3.1623718053787866,3.490135815679432,3.732549050372223,terminate,0.0
instance-002586f7-d840-47d3-8fe1-4cdd175dc7f3,4.046666666666667,3.9080802823361984,3.9647797605745185,4.01741752895403,terminate,0.05977744144726828
instance-0025b894-efa5-43b9-a51f-55fdb103fbd9,1.0816666666666668,0.8488980179551808,1.2809810762254428,2.028919740139358,terminate,0.0
instance-0026e244-a0e0-400d-a279-1f1ad26fc2ad,3.026666666666667,2.7109318062007874,4.47097351394652,15.450460538713594,downsize,0.0
instance-0027c3e9-7e71-426e-ba04-aa80ef3e4dad,1.59,2.2490821230932165,3.4582366023628452,4.16247339961356,terminate,0.0
instance-0027f0e0-7f79-4d73-809b-0fab2fc7784e,4.050000000000001,3.915824484260353,4.042707843437718,4.618074236767879,terminate,0.005323274290466422
instance-002835a2-2563-473c-9bc5-a5a70b80c00d,2.3116666666666665,2.1992855108653173,2.309221472604507,2.402611926947254,terminate,0.001784991665376423
instance-002b2147-973f-4fc2-be78-b0507caa81c6,12.64,8.394665923912903,11.928182649410152,15.84748556567735,downsize,0.5196266659305895
instance-002f3008-d7ac-4d4b-8e46-a037a6669600,0.5616666666666666,0.5258063662735277,0.6089975848954242,1.832686455660188,terminate,0.0
instance-003097df-ee67-4cff-b1f6-ed96f6c97e11,9.57,9.858106575614528,16.808492337842043,17.216540152671058,downsize,0.0
instance-0034e6fd-4d08-47ea-8e96-71f76a8b1226,13.638333333333334,7.528561236837388,14.287153500915002,16.40398704424239,downsize,0.0
instance-00356c59-e371-4da8-a0af-da70917a5269,2.433333333333333,2.204959672057784,2.408747252885032,2.4770366258277927,terminate,0.017947838727259822
instance-0035f5e9-cb35-48d0-a460-6a1136a25047,3.5750000000000006,3.580865221180068,3.5030651956131136,3.7561939400520026,terminate,0.052512407202427544
instance-0036ea29-9f5d-4dae-ab39-52ec48a1af52,9.153333333333332,4.303612272760192,6.621755141518049,8.729007535857496,downsize,1.8480520800251568
instance-0037b93e-27f2-4e81-a1d0-6263caf4e8ef,8.951666666666666,2.4786456897783524,8.367052607561066,12.734844654993507,downsize,0.4267682631470885
instance-003c3a68-4bbc-4f07-9fd7-d09e120fc358,10.055,8.694527335539776,9.929079526082104,11.128722794627175,downsize,0.09192194596006398
instance-003cce84-a470-42cd-8e9f-fa171d6279e5,15.423333333333334,10.693813682933389,16.198370102340316,17.486125723036892,downsize,0.0
instance-003e96a4-8b26-4670-95ef-58a5cb495b65,17.395,10.483381961722612,17.499032248715185,19.778495838011313,downsize,0.0
instance-003eb3e9-8a5c-4271-bc08-77ec846b283c,8.453333333333333,4.093789785868215,8.39261460515795,9.909716833773192,downsize,0.044324671568029377
instance-003f6fd0-71aa-49a2-b528-25f3aa698ed8,1.9983333333333333,1.7182071800106904,2.414295056753284,3.1239524781493673,terminate,0.0
instance-0041c59d-8270-40c2-9f00-dbeadef3607f,1.0083333333333335,0.9445698189918955,1.0032876942069118,1.0241753852719784,terminate,0.0036833165622878793
instance-004244a3-6977-4f94-8288-b0a65a0bb860,2.34,2.0825344687237144,2.5602715497799227,3.2727102713034637,terminate,0.0
instance-00430d0e-3a8d-44eb-833d-09819ca8b621,3.42,3.133483123936232,4.394133817647862,5.291842137116601,downsize,0.0
instance-00438570-846b-4d71-9b40-ed091ad4f790,18.338333333333335,12.853358529218507,18.404600024487422,22.67480613548708,review,0.0
instance-00441201-383c-4499-9d3c-864a36eebd4d,6.303333333333334,5.498520003294514,6.5695380666220995,7.0864074585199806,downsize,0.0
instance-004805cf-fd37-4f6a-a726-2f8510a59424,10.321666666666665,5.623888216997176,7.833414885401325,9.513788632384152,downsize,1.8164238003236985
instance-0049284e-537b-41a6-a5d8-71d47905c47a,4.683333333333334,4.188304849538969,4.931892416696042,5.485754569898174,downsize,0.0
instance-004938a3-2bf0-4abd-8a75-b9e582dbb4b4,6.796666666666667,0.5064723837439812,2.2702055528045926,7.105179473509912,downsize,3.304316613119315
instance-00494485-6870-4068-8c5d-3990ddc03e18,2.565,2.470259496827157,2.774689301771869,3.1337016539861966,terminate,0.0
instance-004a3677-6430-4d8f-9923-7b0e14360b79,0.7,2.0859692084525707,4.461194858049243,5.745480270239742,downsize,0.0
instance-004f3b48-9e2b-45e1-941c-57b569167e67,4.546666666666666,4.126759502926785,4.556190683600433,5.426896028357061,downsize,0.0
instance-0051d788-00af-43e2-b4e9-eb45fc14d079,11.190000000000003,8.835490772673236,11.044433395091277,11.755353410156033,downsize,0.1062636215833702
instance-00525c42-631d-4f0f-a534-1cdf042ade30,8.758333333333333,4.473631474769175,8.49841820171993,9.574800412377233,downsize,0.1897380460777837
instance-0052d21e-5917-4c58-8fc2-ea0a2d7a4830,2.56,2.3829995616518374,2.4427314237096938,2.6582226150878823,terminate,0.08560606069192359
instance-00548100-5c66-4cf7-bfa1-6c441f2d5478,0.36999999999999994,0.3248812159962004,0.36834298882860017,0.3882727484848571,terminate,0.0012096181551218316
instance-00562ac8-eb3e-425a-85a3-d5010c13249f,15.763333333333334,9.5399303326016,15.305639157278119,15.759581195788783,downsize,0.33411674852030687
instance-00569d01-137c-4aea-877b-515c9172b140,2.135,1.9578029901287648,2.748366816730914,4.079549046539753,terminate,0.0
instance-0056acc3-7343-43a3-b558-c8e4baede97f,16.07,7.167985503568734,15.898075834151856,16.82653626628147,downsize,0.12550464106914566
instance-00582077-32f9-45a7-9ee1-6971caf8ccff,8.641666666666667,4.966427670641447,7.773392944149449,12.000591758481585,downsize,0.6338398174375698
instance-0059a2d7-b380-4c6f-94ad-262016b8aabb,5.516666666666666,1.511971639061928,4.539502872663711,6.330943317147173,downsize,0.7133295696221572
instance-005d98e4-281f-44a0-b28a-ba9e88b11c04,7.626666666666666,4.955924488434705,8.072593472488693,10.957601334004972,downsize,0.0
instance-005ddab0-297f-4c1a-b83a-08f622190694,2.7175000000000002,2.1652381674398056,2.6066321184598866,7.426561512171301,downsize,0.08093355352428294
instance-005e7fb3-2b55-43dd-9d62-b8ab94595a5a,3.6249999999999996,3.493383816644444,3.66353784487209,3.8379560256249157,terminate,0.0
instance-0060c8ad-9280-415f-8988-bb5d5d55f156,13.023333333333332,3.463348115434349,8.064756568552902,12.931572890636929,downsize,3.619761038289714
instance-006252d3-96f1-4cd1-8306-aaba5dfb7f03,1.3816666666666666,1.3312969863004258,1.408516132834237,1.8554411598799028,terminate,0.0
instance-006524d9-ef51-44cc-a4e1-a61af491fbec,4.871666666666666,4.457582385930764,4.912758117704567,6.2481619735828,downsize,0.0
instance-00655607-7797-4976-9f61-162c951d8966,4.531666666666667,4.216805146544729,4.655635273117357,5.7810408875369115,downsize,0.0
instance-00660cfe-9c21-4a17-9aa0-d5412f2e47f6,4.4383333333333335,4.215655950380284,4.55795931731723,5.29248982025504,downsize,0.0
instance-00666585-96bc-41c8-95ac-165f60968c1a,7.713333333333334,4.628979968704565,7.175741602826256,8.173248818946933,downsize,0.3924419632701669
instance-0066bba3-24c8-4757-b874-c5aada32d3ea,7.403333333333333,5.666319517036592,7.266301538714426,7.782869138552351,downsize,0.10003321007180213
instance-0066bd5c-49c4-4c6b-a76e-2a124bac80c2,2.405,2.3143627043037904,2.4000073092934526,2.4670773321071326,terminate,0.0036446642157794387
instance-006a52d6-57fc-41a5-9cfb-ae12f21c8f6f,0.7983333333333333,0.766722744495435,0.7770850216585306,0.8345070635453621,terminate,0.015511267522606035
instance-006bbb97-ad84-427b-a92d-abf5501a1ec4,3.561666666666666,3.313079732962682,3.361402200123346,3.5314440467539456,terminate,0.14619306057662373
instance-006c4a81-b0b3-4317-8e46-04b272f80406,5.158333333333334,2.4331836130068285,4.5190400132129485,5.29248982025504,downsize,0.46668412368788154
instance-006c73e6-3ab9-4f1e-b083-a019b2c312fd,1.7616666666666667,1.5380481159053512,1.66325123062333,1.7671296375252885,terminate,0.07184326831163579
instance-006d2c38-06b1-43ed-b240-ddf62ac11700,15.986666666666666,9.024119937902505,15.891432704072256,16.873743863252134,downsize,0.0695207926939192
instance-006f689d-b10f-474d-93e3-b3be33ead761,13.003333333333332,9.350475355169102,15.066787928160425,15.85815346945317,downsize,0.0
instance-006f9697-02a1-4866-92b6-c63d3758d107,6.8725,7.921844130241551,13.9334539813346,16.868928807887666,downsize,0.0
instance-006fada3-d407-4df3-9720-89e92fcd5b6b,1.6883333333333332,1.889737787097561,2.037930123556059,2.29053752193052,terminate,0.0
instance-006fe0c4-bc04-4846-8f88-1db122636dd2,1.1633333333333333,1.0678529310104945,1.1632294886503733,1.237114738624909,terminate,7.580661856078973e-05
instance-0070274b-7deb-408c-8403-50be1ec3d5f2,16.76,9.845275508082958,16.555185286965596,17.61361546289784,downsize,0.14951474051511607
instance-0071c3c5-b4e2-443d-986d-bf74401d0050,16.458333333333332,8.597759680629059,13.905835444268465,18.004547265409766,downsize,1.8633234590173529
instance-0072c44b-67e1-41ce-a088-017a94bbe272,2.2533333333333334,5.301514494513375,8.78079496262731,10.103973162788142,downsize,0.0
instance-007305fe-2e1a-4c83-a036-6e042703cf86,10.316666666666668,8.740005939859957,10.484256727035465,11.32679304685243,downsize,0.0
instance-007485b3-3508-4076-b8a6-dbe425977353,2.8200000000000003,2.5081372383053,2.6719139996125834,2.9185649501821636,terminate,0.10810278028281435
instance-00752ae8-d36a-4d98-92c6-b3bcdfab5d7f,8.475000000000001,6.745215733304765,8.423408656290718,9.202121941071567,downsize,0.0376616809077769
instance-0075c81a-27d7-4bd2-b3f0-b106ce0ae4b9,8.258333333333333,3.387878745123914,5.9787165716091515,8.457011819857495,downsize,1.6641202360586524
instance-00770894-bb31-47bc-b5c8-d6e1a9512c53,4.69,3.4369755775520674,4.843305321492394,7.288427076010428,downsize,0.0
instance-0077d728-5b4b-44f7-a2f9-b0470440c304,7.62,4.844898883210767,7.3399083137000085,8.88125148368009,downsize,0.20446693099899388
