instance,cpu_mean,cpu_median,cpu_p5,cpu_p95,cpu_min,cpu_max,cpu_n,mem_mean,mem_median,mem_p5,mem_p95,mem_min,mem_max,mem_n
instance-00004b7a-bebb-4f1c-86e1-f62ccfe134d6,4.3586,4.3586,4.3586,4.3586,4.3586,4.3586,2,23.4275,23.4275,23.4275,23.4275,23.4275,23.4275,2
instance-00011354-845c-4726-b714-2057d6d1bf6b,3.4742,3.4212,3.0721,4.5587,2.4725,4.8724,62,99.7741,99.7803,99.7525,99.7803,99.7525,99.7803,62
instance-0001a3ca-b5f1-472c-96e5-1f3f28d84e48,3.2407,3.8107,0.5839,4.2009,0.5839,4.2009,37,99.8175,99.819,99.8052,99.8193,99.8052,99.8198,37
instance-0001fbbb-7c5d-4366-a6cf-d0acd2ddbca6,0.7394,0.7394,0.7394,0.7394,0.7394,0.7394,2,3.7935,3.7935,3.7935,3.7935,3.7935,3.7935,2
instance-0002f0a6-2a95-4a70-91de-91074b585287,14.3698,17.8023,1.8301,18.9266,1.8301,18.9266,21,89.427,96.3143,68.5652,96.7116,68.5652,96.7787,21
instance-00041e81-33ef-4264-aa64-6e89e5781fa3,8.0907,8.0907,3.3878,12.7937,3.3878,12.7937,4,89.7843,89.7843,79.951,99.6175,79.951,99.6175,4
instance-0004f10a-f3ba-420b-89a7-83a265cd00d4,1.764,1.7632,1.7103,1.8096,1.7013,1.8219,62,99.9596,99.9695,99.9278,99.9695,99.9139,99.9695,62
instance-000579fe-2be1-4697-8054-6102c86ba540,1.7903,1.7863,1.6947,1.8773,1.6947,1.8773,9,99.7453,99.7473,99.7272,99.7594,99.7272,99.7594,9
instance-0005e327-045e-4e9c-84aa-58e99094ed30,9.101,9.101,9.101,9.101,9.101,9.101,1,39.679,39.679,39.679,39.679,39.679,39.679,1
instance-00062a51-a09d-4f41-9277-f8791ab9a8d8,3.9957,3.8764,3.6833,4.1978,3.6732,7.8055,64,99.9961,100.0,99.9722,100.0,99.9444,100.0,64
instance-000773f3-5492-4fb1-889b-79133f551d69,7.6338,7.6558,6.969,7.9347,6.8582,11.5716,65,99.6527,99.6569,99.6292,99.6569,99.6153,99.6569,65
instance-00079d46-c771-400e-ba0f-1a1532aed095,3.6705,3.7685,2.5664,4.0791,2.5255,4.1347,62,96.8519,99.8191,72.0226,99.8466,61.5127,99.8466,62
instance-00093cfd-3b04-46af-99d4-d22b3d2dcb1d,9.0894,9.3059,7.2086,10.0984,3.1996,10.2087,66,94.8601,96.7832,88.8467,97.1262,87.8174,97.1281,66
instance-0009d969-0894-462a-a670-2eef62d8b88f,5.1126,5.1126,5.0835,5.1417,5.0835,5.1417,4,54.378,54.378,53.9671,54.7889,53.9671,54.7889,4
